# rho_grid_gcc rho_cdf
7.903614523758955013e-01 1.494820974451423377e-05
7.904606313248305760e-01 1.498428887505609077e-05
7.905598102737657618e-01 1.502042434863176633e-05
7.906589892227009475e-01 1.505661660085716775e-05
7.907581681716361333e-01 1.509286606670793350e-05
7.908573471205713190e-01 1.512917318049295162e-05
7.909565260695065048e-01 1.516553837582804403e-05
7.910557050184416905e-01 1.520196208560969335e-05
7.911548839673768763e-01 1.523844474198884242e-05
7.912540629163120620e-01 1.527498677634480569e-05
7.913532418652471367e-01 1.531158861925917893e-05
7.914524208141823225e-01 1.534825070049008772e-05
7.915515997631175082e-01 1.538497344894607514e-05
7.916507787120526940e-01 1.542175729266051965e-05
7.917499576609878797e-01 1.545860265876589207e-05
7.918491366099230655e-01 1.549550997346821587e-05
7.919483155588582513e-01 1.553247966202154435e-05
7.920474945077933260e-01 1.556951214870255643e-05
7.921466734567285117e-01 1.560660785678545060e-05
7.922458524056636975e-01 1.564376720851645938e-05
7.923450313545988832e-01 1.568099062508899401e-05
7.924442103035340690e-01 1.571827852661858917e-05
7.925433892524692547e-01 1.575563133211804094e-05
7.926425682014044405e-01 1.579304945947263610e-05
7.927417471503396262e-01 1.583053332541553061e-05
7.928409260992747010e-01 1.586808334550315175e-05
7.929401050482098867e-01 1.590569993409093915e-05
7.930392839971450725e-01 1.594338350430879431e-05
7.931384629460802582e-01 1.598113446803708254e-05
7.932376418950154440e-01 1.601895323588249583e-05
7.933368208439506297e-01 1.605684021715411239e-05
7.934359997928858155e-01 1.609479581983959496e-05
7.935351787418210012e-01 1.613282045058150104e-05
7.936343576907560760e-01 1.617091451465365063e-05
7.937335366396912617e-01 1.620907841593788030e-05
7.938327155886264475e-01 1.624731255690048208e-05
7.939318945375616332e-01 1.628561733856919808e-05
7.940310734864968190e-01 1.632399316051015404e-05
7.941302524354320047e-01 1.636244042080493871e-05
7.942294313843671905e-01 1.640095951602786936e-05
7.943286103333022652e-01 1.643955084122331175e-05
7.944277892822374509e-01 1.647821478988339291e-05
7.945269682311726367e-01 1.651695175392538879e-05
7.946261471801078224e-01 1.655576212366970140e-05
7.947253261290430082e-01 1.659464628781782576e-05
7.948245050779781939e-01 1.663360463343037453e-05
7.949236840269133797e-01 1.667263754590542779e-05
7.950228629758485654e-01 1.671174540895684906e-05
7.951220419247836402e-01 1.675092860459287563e-05
7.952212208737188259e-01 1.679018751309498342e-05
7.953203998226540117e-01 1.682952251299647741e-05
7.954195787715891974e-01 1.686893398106176299e-05
7.955187577205243832e-01 1.690842229226539379e-05
7.956179366694595689e-01 1.694798781977151927e-05
7.957171156183947547e-01 1.698763093491335602e-05
7.958162945673299404e-01 1.702735200717286237e-05
7.959154735162650152e-01 1.706715140416054509e-05
7.960146524652002009e-01 1.710702949159566597e-05
7.961138314141353867e-01 1.714698663328612308e-05
7.962130103630705724e-01 1.718702319110900625e-05
7.963121893120057582e-01 1.722713952499105438e-05
7.964113682609409439e-01 1.726733599288935659e-05
7.965105472098761297e-01 1.730761295077221608e-05
7.966097261588113154e-01 1.734797075260020031e-05
7.967089051077463902e-01 1.738840975030729279e-05
7.968080840566815759e-01 1.742893029378249898e-05
7.969072630056167617e-01 1.746953273085112340e-05
7.970064419545519474e-01 1.751021740725671431e-05
7.971056209034871332e-01 1.755098466664298127e-05
7.972047998524223189e-01 1.759183485053584815e-05
7.973039788013575047e-01 1.763276829832583829e-05
7.974031577502926904e-01 1.767378534725049685e-05
7.975023366992277651e-01 1.771488633237705372e-05
